market_id,market_start_time,venue,market_type,selection_id,horse_name,status,morning_price,total_matched
1.233233389,2024-09-21 14:00:00,Ayr,WIN,73153311,Sky Majesty,ACTIVE,5.2,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,69727304,Grande Marques,ACTIVE,8.6,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,9978944,Town And Country,ACTIVE,8.2,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,12419804,Stormy Impact,ACTIVE,7.2,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,68134685,Englemere,ACTIVE,8.2,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,68330721,It Aint Two,ACTIVE,16.0,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,68425445,Li Ban,ACTIVE,17.5,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,69878551,Royalty Bay,ACTIVE,19.5,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,38216314,Handcuffed,ACTIVE,21.0,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,70095858,Perfect Part,ACTIVE,26.0,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,69437421,Maw Lam,ACTIVE,30.0,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,71023357,Guns Firing,ACTIVE,50.0,147955.54
1.233233389,2024-09-21 14:00:00,Ayr,WIN,42140376,Ellaria Sand,ACTIVE,100.0,147955.54
1.233233029,2024-09-21 14:05:00,Chester,WIN,72360872,Raneenn,ACTIVE,1.33,69494.38
1.233233029,2024-09-21 14:05:00,Chester,WIN,45714626,Radio Star,ACTIVE,7.6,69494.38
1.233233029,2024-09-21 14:05:00,Chester,WIN,72557103,Connies Way,ACTIVE,12.0,69494.38
1.233233029,2024-09-21 14:05:00,Chester,WIN,26423599,Miss Pocket Rocket,ACTIVE,30.0,69494.38
1.233233029,2024-09-21 14:05:00,Chester,WIN,71915797,Straight Back Up,REMOVED,,69494.38
1.233233172,2024-09-21 14:15:00,Newbury,WIN,72735515,Powerful Glory,ACTIVE,3.35,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,2024494,Brian,ACTIVE,3.65,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,72621172,Sarab Star,ACTIVE,7.0,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,58882665,Star Anthem,ACTIVE,7.4,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,70217638,Billboard Star,ACTIVE,8.2,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,71597418,La Bellota,ACTIVE,34.0,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,72693678,Defence Minister,REMOVED,,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,69296694,Symbol Of Strength,REMOVED,,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,24993451,Andesite,REMOVED,,74148.42
1.233233172,2024-09-21 14:15:00,Newbury,WIN,71121080,Shadow Of Light,REMOVED,,74148.42
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,8793329,Imperial Guard,ACTIVE,5.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,40512792,Ingra Tor,ACTIVE,6.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,36110943,Dashing Dick,ACTIVE,8.2,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,55952949,Miss Show Off,ACTIVE,10.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,11665408,Equiano Springs,ACTIVE,9.2,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,68866315,Jungle Land,ACTIVE,9.6,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,24292281,Spring Bloom,ACTIVE,13.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,40563001,Regal Envoy,ACTIVE,26.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,61076351,Ezra Cee,ACTIVE,27.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,56330032,Angel Shared,ACTIVE,32.0,16586.61
1.233232294,2024-09-21 14:20:00,Newmarket,WIN,58579324,Bulldog Drummond,ACTIVE,46.0,16586.61
1.233233396,2024-09-21 14:35:00,Ayr,WIN,55213999,American Affair,ACTIVE,6.2,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,28659808,Rohaan,ACTIVE,10.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,13257,Mostabshir,ACTIVE,13.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,7058689,Ramazan,ACTIVE,14.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,55953141,Room Service,ACTIVE,16.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,24337304,Orazio,ACTIVE,17.5,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,39580324,Lethal Levi,ACTIVE,19.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,28562912,Strike Red,ACTIVE,21.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,19381571,Jordan Electrics,ACTIVE,23.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,54449586,Sergeant Wilko,ACTIVE,27.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,8796736,Pilgrim,ACTIVE,29.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,36019289,Dare To Hope,ACTIVE,30.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,57661803,Billyjoh,ACTIVE,34.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,31776627,Aramis Grey,ACTIVE,36.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,24590747,Commanche Falls,ACTIVE,34.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,25679578,Kings Lynn,ACTIVE,38.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,6695010,Glenfinnan,ACTIVE,38.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,19918822,Northern Express,ACTIVE,50.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,56262942,Jehangeer,ACTIVE,60.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,39431879,Korker,ACTIVE,75.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,8111772,Tinto,ACTIVE,70.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,35565689,Fivethousandtoone,ACTIVE,80.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,39135797,Aleezdancer,ACTIVE,85.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,40115397,Silky Wilkie,ACTIVE,130.0,231513.0
1.233233396,2024-09-21 14:35:00,Ayr,WIN,28641382,Coachello,ACTIVE,200.0,231513.0
1.233233035,2024-09-21 14:40:00,Chester,WIN,28442652,South Parade,ACTIVE,5.1,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,45171144,Lahab,ACTIVE,6.6,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,46250274,Thankuappreciate,ACTIVE,6.6,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,54449588,Balon Dor,ACTIVE,8.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,56615736,Canaria Queen,ACTIVE,11.5,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,18889960,Count Dorsay,ACTIVE,11.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,17784373,Lihou,ACTIVE,11.5,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,55953214,Smooth Silesie,ACTIVE,21.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,45150336,Dolly Gray,ACTIVE,40.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,58108805,Al Shabab,ACTIVE,50.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,39135793,Beauzon,ACTIVE,130.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,48386184,Maharajas Express,ACTIVE,85.0,12026.31
1.233233035,2024-09-21 14:40:00,Chester,WIN,37457437,Hallowed Time,REMOVED,,12026.31
1.233233179,2024-09-21 14:50:00,Newbury,WIN,70053072,The Fingal Raven,ACTIVE,2.72,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,74050662,Stem,ACTIVE,3.25,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,73455007,Al Samed,ACTIVE,8.8,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,38132261,Shiplake,ACTIVE,9.4,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,6691480,Tequila Star,ACTIVE,14.0,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,159161,Secret Mission,ACTIVE,42.0,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,72923510,Downcliffe Flyer,ACTIVE,110.0,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,71447028,Navid,REMOVED,,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,74050663,President Wilson,REMOVED,,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,39343072,Prince Of Joy,REMOVED,,11638.63
1.233233179,2024-09-21 14:50:00,Newbury,WIN,74050661,Oceans Five,REMOVED,,11638.63
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,640339,Tactician,ACTIVE,2.64,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,49349283,Trooper Bisdee,ACTIVE,6.8,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,43550181,Premiere Ligne,ACTIVE,7.4,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,39565213,Robert Johnson,ACTIVE,15.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,55789685,Shagpyle,ACTIVE,16.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,55382762,Story Horse,ACTIVE,16.5,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,38270186,Duke Of Verona,ACTIVE,20.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,41063732,Bringbackmemories,ACTIVE,30.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,40190525,Yorkindness,ACTIVE,34.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,35431600,Diamond Bay,ACTIVE,34.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,12685427,The Grand Visir,ACTIVE,65.0,21162.73
1.233232300,2024-09-21 14:55:00,Newmarket,WIN,19835012,Rajinsky,REMOVED,,21162.73
1.233233405,2024-09-21 15:10:00,Ayr,WIN,46659950,Al Muqdad,ACTIVE,5.2,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,35807318,Yaaser,ACTIVE,6.8,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,55632258,The Caltonian,ACTIVE,8.0,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,525,Prairie Falcon,ACTIVE,8.2,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,51623517,Wreck It Ryley,ACTIVE,9.6,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,11131832,Redarna,ACTIVE,11.0,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,54746205,Jenni,ACTIVE,14.0,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,23658077,Judgment Call,ACTIVE,16.0,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,55720913,Tierney,ACTIVE,19.5,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,1122229,Craven,ACTIVE,29.0,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,57238432,Chiefman,ACTIVE,85.0,12703.43
1.233233405,2024-09-21 15:10:00,Ayr,WIN,12988926,Danzan,REMOVED,,12703.43
1.233233042,2024-09-21 15:15:00,Chester,WIN,44132371,Radio Goo Goo,ACTIVE,4.9,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,39481739,Roman Dragon,ACTIVE,5.1,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,38941674,Vintage Clarets,ACTIVE,5.6,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,11030704,Copper Knight,ACTIVE,8.6,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,44401854,Secret Mistral,ACTIVE,10.5,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,48680932,Almaty Star,ACTIVE,14.5,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,30778253,Night On Earth,ACTIVE,21.0,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,57661991,Cloud King,ACTIVE,22.0,15954.31
1.233233042,2024-09-21 15:15:00,Chester,WIN,11069625,Hyperfocus,ACTIVE,25.0,15954.31
