"Race Time","Course","Distance (y)","Race Type","Position","Horse","Weight (pounds)","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","Proform Speed Rating","Evening Price","Breakfast Price","Morning Price","Won P/L Before"
"09/09/2024 2:20:00 PM","Brighton","1756","Turf","1","James Park Woods","119","3","3.3","1","60","5","5","4","-41"
"09/09/2024 2:20:00 PM","Brighton","1756","Turf","2","Strive","134","26","35.42","0","55","9","9","13","-0.5"
"09/09/2024 2:20:00 PM","Brighton","1756","Turf","3","Fact Or Fable","130","4.33","4.8","0","54","7","7","5","-9.75"
"09/09/2024 2:20:00 PM","Brighton","1756","Turf","4","Spanish Mane","138","19","24.25","0","52","8","10","13","63"
"09/09/2024 2:20:00 PM","Brighton","1756","Turf","5","Hellavapace","132","3.25","3.41","0","51","2.38","2.38","2.5","-32.05"
"09/09/2024 2:20:00 PM","Brighton","1756","Turf","6","Roundabout Silver","129","7.5","8.17","0","42","8","8","8","-5"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","1","Mirabeau","133","7","7.86","1","63","34","21","10","-1"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","2","Twilight Moon","126","23","30.44","0","59","26","34","29","-2"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","3","Jiff's Army","131","3.5","4.09","0","58","4.33","4","3.5","-2"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","4","Lady Kilonova","128","13","16","0","56","26","34","21","-2"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","5","Babylon","128","3.75","4.2","0","55","13","10","5.5","-1"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","6","Kildonan","131","6","6.8","0","55","2.75","2.88","3.5","-1"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","7","Watkins","133","17","21.48","0","54","7.5","10","9.5","-1"
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","8","Demesne Boy","130","81","128.33","0","48","41","51","101",""
"09/09/2024 2:55:00 PM","Brighton","1530","Turf","9","Tuscan Star","133","10","13.39","0","46","9","9","9",""
"09/09/2024 3:30:00 PM","Brighton","1160","Turf","1","Secret Handsheikh","134","2.38","2.63","1","69","4","4.33","3.25","-17.68"
"09/09/2024 3:30:00 PM","Brighton","1160","Turf","2","Thismydream","133","7.5","7.92","0","61","5.5","5.5","7.5","-29.92"
"09/09/2024 3:30:00 PM","Brighton","1160","Turf","3","Libra Tiger","134","4.5","5.1","0","59","4","3.75","3.5","-15.5"
"09/09/2024 3:30:00 PM","Brighton","1160","Turf","4","Voodoo Ray","130","4.5","4.96","0","56","3","3.5","5","-2"
"09/09/2024 3:30:00 PM","Brighton","1160","Turf","5","Alafdhal","133","9","11.08","0","50","11","7","6","1.38"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","1","Cassandraalexandra","123","3.25","3.65","1","64","5.5","6","5","-6"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","2","Prada On Parole","129","13","16","0","63","17","19","23","-5"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","3","Tiana Rose","136","29","48","0","60","29","34","41","-3"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","4","Spring","141","3.5","3.52","0","60","4.33","4.33","3.25","0.33"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","5","She's A Dark Horse","130","41","55","0","59","41","26","26","-3"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","6","Kate Be Quick","125","81","98.32","0","58","41","51","101","-3"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","7","Inshad","133","3.5","3.9","0","57","2","2","2.2","-4"
"09/09/2024 4:05:00 PM","Brighton","1315","Turf","254","Lucky Lottery","134","10","11.5","0","0","21","17","13","-3"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","1","Innisfree Pearl","121","8.5","8.58","1","64","8","8","6.5","-4"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","2","Fen Tiger","130","5.5","6.4","0","64","10","10","7.5","-23.5"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","3","Fighting Poet","133","4.5","5.5","0","63","4.33","4.33","4","-11.5"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","4","Irezumi","127","11","12.18","0","62","9","9","10","-13.5"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","5","Fascinating Lips","135","7.5","8.6","0","58","5.5","5.5","7.5","-13.25"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","6","Cloudy Rose","130","6.5","7.72","0","55","8","8","6.5","-14.02"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","7","The Conqueror","132","8.5","11.66","0","46","6","6","7.5","-11.5"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","8","Big Jimbo","128","17","26","0","43","15","15","17","-15.75"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","9","Duveen","126","51","55","0","31","34","34","41","-19"
"09/09/2024 4:40:00 PM","Brighton","2618","Turf","10","Daidalos","122","15","16","0","17","15","17","21","-4"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","1","Carnival Day","133","4.33","4.66","1","70","6","6","5.5","-6"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","2","Afloat","141","8.5","9.37","0","67","9","9","8","-2.4"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","3","Platinum Prince","128","13","20","0","66","8","8","11","-18.5"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","4","The Thunderer","143","4","4.38","0","62","5","5.5","4.5","-15.67"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","5","Myna","130","4.5","5.06","0","62","4.5","4.5","5","-7"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","6","Sun Festival","124","29","44","0","57","9","10","17","-26.38"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","7","Dr Foster","136","8.5","9.67","0","57","8","6.5","7","-11.5"
"09/09/2024 5:15:00 PM","Brighton","2187","Turf","8","Speed Court","131","10","12.96","0","52","9","10","8","-6"
"09/09/2024 5:50:00 PM","Brighton","1530","Turf","1","Otago","133","5","5.6","1","64","4.5","4.5","5","-10.88"
"09/09/2024 5:50:00 PM","Brighton","1530","Turf","2","On Song","136","3.75","3.65","0","64","2.88","3.25","3.25","-5"
"09/09/2024 5:50:00 PM","Brighton","1530","Turf","3","Zaltalla","134","5.5","6","0","63","7","6.5","3.75","-6"
"09/09/2024 5:50:00 PM","Brighton","1530","Turf","4","Muy Muy Guapo","121","9.5","10.68","0","62","17","11","9","-23"
"09/09/2024 5:50:00 PM","Brighton","1530","Turf","5","Big Bard","140","3","3.29","0","62","3","3.25","4.5","7.9"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","1","Saint Riquier","141","3.5","3.93","1","66","4.33","4.5","4.5","-4.5"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","2","Macari","140","11","14","0","58","11","11","8","-6.5"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","3","Fillyfudge","140","11","11.71","0","58","9","9","11","16.75"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","4","Awtaad Prince","136","13","16","0","58","13","13","15","6"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","5","Upepo","137","21","20.72","0","58","21","21","21","-7.25"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","6","Fougere","131","4.33","4.78","0","57","4.5","5.5","5.5","-11.67"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","7","Mariner","134","21","27","0","57","21","21","21","-11"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","8","Double Red","127","4.33","5.11","0","55","4.5","3.75","3.25","-7"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","9","Swinging London","134","34","55","0","54","26","26","29","-22.38"
"10/09/2024 2:10:00 PM","Leicester","2200","Turf","10","Sophosc","136","41","56.9","0","54","9","9","17","11.88"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","1","The Dancing Poet","146","3","3.4","1","55","3.25","3.5","3.5","8.29"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","2","Kitsune Power","152","4","4.6","0","53","5.5","3.75","2.75","-9.88"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","3","Swift Tuttle","130","5.5","6.2","0","53","3.75","4","6.5","19.5"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","4","Sameem","143","4.5","5.42","0","52","7.5","8","7.5","-20.13"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","5","Lindwall","140","9","11","0","50","7.5","8","7","-9.2"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","6","Fanaigi Linn","141","34","42","0","45","21","26","29","-12"
"10/09/2024 2:20:00 PM","Catterick","3052","Turf","7","Straitouttacompton","130","101","166.54","0","20","41","41","41","-29.75"
"10/09/2024 2:40:00 PM","Leicester","1540","Turf","1","Under The Sea","131","13","14.06","1","64","21","13","13","-4"
"10/09/2024 2:40:00 PM","Leicester","1540","Turf","2","Al Waseela","131","2.1","2.29","0","64","2.1","1.91","2","-5"
"10/09/2024 2:40:00 PM","Leicester","1540","Turf","3","D Day Harley R","136","7","8.52","0","62","13","10","7","-3"
"10/09/2024 2:40:00 PM","Leicester","1540","Turf","4","Havana Club","129","8","9.47","0","61","7","8","9","-4"
