"Race Time","Course","Distance (y)","Race Type","Position","Horse","Weight (pounds)","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","Proform Speed Rating","Evening Price","Breakfast Price","Morning Price","Won P/L Before"
"02/09/2024 1:50:00 PM","Brighton","1160","Turf","1","Virtue Temperance","126","9.5","9.78","1","52","7.5","7.5","9","-3"
"02/09/2024 1:50:00 PM","Brighton","1160","Turf","2","Lady Dorchester","135","13","12.28","0","50","15","17","15","-7"
"02/09/2024 1:50:00 PM","Brighton","1160","Turf","3","Facoulty","133","2.63","3.02","0","48","2.2","2.2","2.25","-3"
"02/09/2024 1:50:00 PM","Brighton","1160","Turf","4","Pure Liberty","120","6.5","6.7","0","44","3.75","3.75","4.5","-5"
"02/09/2024 1:50:00 PM","Brighton","1160","Turf","5","Chasing Gold","137","5","5.2","0","39","9","9","6","-3"
"02/09/2024 1:50:00 PM","Brighton","1160","Turf","6","Watch Blue Point","133","5.5","6.12","0","38","8.5","9","10","-3"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","1","Hawajes","131","6.5","7.65","1","65","8.5","8.5","6","-12.5"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","2","Kenstone","124","17","23","0","64","13","15","15","-29.42"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","3","Peachey Carnehan","129","41","60","0","63","21","21","21","-21.67"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","4","Starshot","134","6","6.8","0","62","15","15","13","-17"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","5","Cobh Harbour","135","3.25","3.57","0","62","11","8.5","3.5","-9"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","6","Savalas","132","41","65","0","57","26","26","29","-23.88"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","7","Flagman","134","10","13.16","0","56","9","9","9","15"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","8","Dynamite Katie","131","7","7.83","0","52","9","9","9","-6"
"02/09/2024 2:05:00 PM","Chepstow","1556","Turf","247","Vaunted","140","5.5","7.44","0","0","3.25","3.5","3.75","-4"
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","1","White Chapel Road","133","1.8","1.88","1","64","2.25","2.1","1.73","-3"
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","2","Martin The Saxon","131","21","22.24","0","61","21","26","26",""
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","3","Metro Dubai","131","4.33","5.1","0","59","2.88","3.5","4.33","-3"
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","4","Letsbeatsepsis","131","7.5","8.56","0","52","4.5","4.5","6","-2"
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","5","Navarre Special","121","81","150","0","48","21","26","34","-2"
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","6","Adelaide Bay","131","12","13.11","0","47","26","17","21","-2"
"02/09/2024 2:20:00 PM","Brighton","1530","Turf","7","Raavi","131","29","36","0","0","34","34","34","-1"
"02/09/2024 2:35:00 PM","Chepstow","1556","Turf","1","Liricist","121","67","94.2","1","58","13","17","26","-3"
"02/09/2024 2:35:00 PM","Chepstow","1556","Turf","2","Inshad","129","1.9","1.93","0","57","2.75","2.75","2.25","-3"
