Race Time,Course,Distance (y),Race Type,Position,Horse,Weight (pounds),SP Odds Decimal,BF Decimal SP,"Won (1=Won, 0=Lost)",Proform Speed Rating,Evening Price,Breakfast Price,Morning Price,Won P/L Before
1/8/2024 13:50,Goodwood,2177,Turf,1,Approval,122,6.5,7,1,77,10,7,6,-0.67
1/8/2024 13:50,Goodwood,2177,Turf,2,Brioni,117,23,25.98,0,77,21,21,29,-4.33
1/8/2024 13:50,Goodwood,2177,Turf,3,Midnight Gun,127,4,5.1,0,77,6,5.5,5,6.03
1/8/2024 13:50,Goodwood,2177,Turf,4,Sisyphean,124,13,18.49,0,76,10,8.5,9,0.13
1/8/2024 13:50,Goodwood,2177,Turf,5,Aragon Castle,123,15,19.47,0,75,10,11,12,0.13
1/8/2024 13:50,Goodwood,2177,Turf,6,Palace Green,124,5,5.69,0,73,6,5,5,-3.25
1/8/2024 13:50,Goodwood,2177,Turf,7,Son,135,23,23.17,0,70,34,34,29,-6.8
1/8/2024 13:50,Goodwood,2177,Turf,8,Watcha Matey,127,8,8.21,0,70,17,17,12,31.83
1/8/2024 13:50,Goodwood,2177,Turf,9,Into Battle,117,8,8.24,0,69,8.5,9,7,12
1/8/2024 13:50,Goodwood,2177,Turf,10,Mortlake,128,15,14.35,0,67,17,17,17,3.5
1/8/2024 14:00,Nottingham,1108,Turf,1,Skellig Isle,128,23,36.21,1,59,9,11,13,-2
1/8/2024 14:00,Nottingham,1108,Turf,2,Nightbird,128,7,8.4,0,59,13,13,9,-1
1/8/2024 14:00,Nottingham,1108,Turf,3,Shostakova,128,5,5.96,0,57,6,6,6,-2
1/8/2024 14:00,Nottingham,1108,Turf,4,Royal Equerry,128,2,2.13,0,55,1.91,1.73,1.8,-2
1/8/2024 14:00,Nottingham,1108,Turf,5,Psychodrama,128,5.5,5.88,0,54,7,8,7,
1/8/2024 14:00,Nottingham,1108,Turf,6,Jeany May,128,151,661.83,0,53,51,81,81,-1
1/8/2024 14:00,Nottingham,1108,Turf,7,Impatiently,128,13,18.45,0,48,8.5,9,12,-1
1/8/2024 14:00,Nottingham,1108,Turf,8,Cassandraalexandra,128,151,288.3,0,45,67,81,81,-2
1/8/2024 14:00,Nottingham,1108,Turf,9,Twilight Poppy,128,81,130,0,34,51,67,67,-1
1/8/2024 14:25,Goodwood,1320,Turf,1,Black Forza,128,10,13.4,1,69,13,13,13,5
1/8/2024 14:25,Goodwood,1320,Turf,2,The Strikin Viking,128,2.1,2.26,0,68,2.1,2.1,2.2,7
1/8/2024 14:25,Goodwood,1320,Turf,3,Intrusively,128,41,55.28,0,67,34,34,41,-3
1/8/2024 14:25,Goodwood,1320,Turf,4,Billboard Star,128,7,8.02,0,67,6,6,6,-0.38
1/8/2024 14:25,Goodwood,1320,Turf,5,The Waco Kid,128,15,18.65,0,66,11,13,15,2
1/8/2024 14:25,Goodwood,1320,Turf,6,Big Cyril,128,34,52.72,0,65,26,26,34,0.75
1/8/2024 14:25,Goodwood,1320,Turf,7,King Of Bears,128,19,23.49,0,65,17,17,21,2
1/8/2024 14:25,Goodwood,1320,Turf,8,Tropical Storm,128,5.5,5.68,0,64,6,5.5,5.5,-3
1/8/2024 14:25,Goodwood,1320,Turf,9,Aparajeo,128,17,21.54,0,61,17,15,15,6
1/8/2024 14:35,Nottingham,1338,Turf,1,Sergeant Mayer,131,4,4,1,67,4.5,5,5.5,-13
1/8/2024 14:35,Nottingham,1338,Turf,2,Profiteer,131,4,4.1,0,67,6,5,4,4
1/8/2024 14:35,Nottingham,1338,Turf,3,Socialise,129,11,14,0,62,15,13,13,2
1/8/2024 14:35,Nottingham,1338,Turf,4,Vanity Pays,134,15,20.85,0,58,15,17,17,-15
1/8/2024 14:35,Nottingham,1338,Turf,5,Shamardia,133,7.5,9.07,0,56,6.5,6.5,6.5,-3
1/8/2024 14:35,Nottingham,1338,Turf,6,Rusheen Boy,136,5.5,6.05,0,53,6,6,6,3.44
1/8/2024 14:35,Nottingham,1338,Turf,7,Sir Bolton,132,10,13.51,0,49,5,6,6.5,-11.75
1/8/2024 14:35,Nottingham,1338,Turf,8,Soldier's Class,134,26,34.91,0,35,21,21,21,-6
1/8/2024 14:35,Nottingham,1338,Turf,250,Falling For You,126,29,42.07,0,0,26,26,26,-7.25
1/8/2024 15:00,Goodwood,2638,Turf,1,Jan Brueghel,132,1.8,1.87,1,72,1.8,1.91,1.91,4.12
1/8/2024 15:00,Goodwood,2638,Turf,2,Bellum Justum,129,3.75,3.89,0,72,6,5.5,6,9.5
1/8/2024 15:00,Goodwood,2638,Turf,3,Sayedaty Sadaty,129,12,14.49,0,69,5.5,5.5,5.5,-6.6
1/8/2024 15:00,Goodwood,2638,Turf,4,Meydaan,129,6,6.4,0,63,8,8,8,2.5
1/8/2024 15:10,Nottingham,1835,Turf,1,Shamrock Bay,137,2,2.1,1,44,2,2,2,18
1/8/2024 15:10,Nottingham,1835,Turf,2,Bayadere,125,6,7.8,0,44,6,6,8,-3
1/8/2024 15:10,Nottingham,1835,Turf,3,Qatar Wave,123,126,190,0,41,34,34,34,-2
1/8/2024 15:10,Nottingham,1835,Turf,4,Kokinelli,125,5.5,6.4,0,41,8,8,6,-2
1/8/2024 15:10,Nottingham,1835,Turf,5,Currumbin,128,9,10.9,0,38,5.5,5.5,5.5,-6
1/8/2024 15:10,Nottingham,1835,Turf,6,Hunters Run,126,51,93.71,0,37,34,34,34,-2
1/8/2024 15:10,Nottingham,1835,Turf,7,Skinny Malinka,128,8.5,9.24,0,36,9,9,9,
