market_id,market_start_time,venue,market_type,selection_id,horse_name,status,last_price_traded,total_matched
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,49695107,Ideallko,ACTIVE,3.5,26433.83
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,55467911,Pitwood Road,ACTIVE,5.0,26433.83
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,39410574,Golden De Coeur,ACTIVE,7.0,26433.83
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,41740568,Zestful Hope,ACTIVE,7.6,26433.83
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,53314887,Fever Dream,ACTIVE,8.6,26433.83
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,49128885,Rajjamataz,ACTIVE,12.5,26433.83
1.239017692,2025-02-03 13:10:00+00:00,Southwell,WIN,51220669,West Warhorse,ACTIVE,19.5,26433.83
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,72651334,More Coko,ACTIVE,1.22,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,77786681,Throatlash,ACTIVE,9.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,45549752,Zephlyn,ACTIVE,38.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,79669668,King Coconut,ACTIVE,36.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,76067980,Canunclecani,ACTIVE,330.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,79669667,Inta,ACTIVE,450.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,70714089,Blakey Boy,ACTIVE,400.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,78957419,Buzz Iceclear,ACTIVE,560.0,51393.03
1.239017430,2025-02-03 13:20:00+00:00,Carlisle,WIN,52346113,Bo Cruz,ACTIVE,980.0,51393.03
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,44330287,Prince Cleni,ACTIVE,2.6,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,62885990,Finn Lough,ACTIVE,6.6,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,35791710,Ali Star Bert,ACTIVE,8.4,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,53920554,Myfanwys Magic,ACTIVE,8.8,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,37413699,Balkardy,ACTIVE,14.5,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,41410786,Flemens Tipple,ACTIVE,18.5,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,36476466,Fairlawn Flyer,ACTIVE,20.0,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,41765189,Martalmixjac,ACTIVE,25.0,16742.5
1.239017705,2025-02-03 13:40:00+00:00,Southwell,WIN,38584726,Slievegar,ACTIVE,32.0,16742.5
1.239017436,2025-02-03 13:50:00+00:00,Carlisle,WIN,51665646,Galunggung,ACTIVE,2.76,21668.46
1.239017436,2025-02-03 13:50:00+00:00,Carlisle,WIN,44249748,Bleu Denfer,ACTIVE,3.5,21668.46
1.239017436,2025-02-03 13:50:00+00:00,Carlisle,WIN,62641212,Great Pepper,ACTIVE,6.8,21668.46
1.239017436,2025-02-03 13:50:00+00:00,Carlisle,WIN,64300942,Barrabooka,ACTIVE,8.2,21668.46
1.239017436,2025-02-03 13:50:00+00:00,Carlisle,WIN,16680,Benson,ACTIVE,14.5,21668.46
1.239017436,2025-02-03 13:50:00+00:00,Carlisle,WIN,41640605,Chumlee,ACTIVE,44.0,21668.46
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,75177855,Karton Plein,ACTIVE,2.44,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,13350441,Unleash The Beast,ACTIVE,3.35,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,20848674,Golden Echo,ACTIVE,8.0,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,68073093,Berkshire Lad,ACTIVE,11.5,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,68073092,Barleythorpe,ACTIVE,40.0,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,77277201,Hestina Hill,ACTIVE,46.0,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,55345685,Pay The Tab,ACTIVE,70.0,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,41740566,Urblereagh,ACTIVE,70.0,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,77944178,Majestic Mia,ACTIVE,180.0,8104.18
1.239017712,2025-02-03 14:10:00+00:00,Southwell,WIN,74504584,Gemi Cat,ACTIVE,240.0,8104.18
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,62186861,Just Call Me Lucy,ACTIVE,2.26,14767.42
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,65217696,Wendywilldo,ACTIVE,2.84,14767.42
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,69684776,Vroomoz Eile,ACTIVE,11.0,14767.42
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,35882299,Holly Bird,ACTIVE,17.0,14767.42
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,75497744,Lets Mingle,ACTIVE,17.5,14767.42
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,77161470,Jolie Maresca,REMOVED,,14767.42
1.239017442,2025-02-03 14:20:00+00:00,Carlisle,WIN,62912582,Mongibello,REMOVED,,14767.42
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,66216868,Heart Over Head,ACTIVE,1.92,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,58821828,Elforleather,ACTIVE,5.6,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,75497787,My Cullen,ACTIVE,9.0,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,13331802,Little Dipper,ACTIVE,10.5,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,79669732,Rule Me In,ACTIVE,22.0,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,78481419,Spectre One,ACTIVE,40.0,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,39659076,Watching Over You,ACTIVE,85.0,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,35727100,Cometh The Hour,ACTIVE,85.0,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,36744539,Lady Fortune,ACTIVE,200.0,9418.05
1.239017719,2025-02-03 14:45:00+00:00,Southwell,WIN,71233821,You Moved On,REMOVED,,9418.05
1.239017448,2025-02-03 14:55:00+00:00,Carlisle,WIN,38572681,Divas Doyen,ACTIVE,3.7,12127.68
1.239017448,2025-02-03 14:55:00+00:00,Carlisle,WIN,75809249,Millie Supreme,ACTIVE,5.2,12127.68
1.239017448,2025-02-03 14:55:00+00:00,Carlisle,WIN,22071708,Gipsy Lee Rose,ACTIVE,4.5,12127.68
1.239017448,2025-02-03 14:55:00+00:00,Carlisle,WIN,61600986,Similar Story,ACTIVE,6.2,12127.68
1.239017448,2025-02-03 14:55:00+00:00,Carlisle,WIN,53195532,Chatshow Host,ACTIVE,13.0,12127.68
1.239017448,2025-02-03 14:55:00+00:00,Carlisle,WIN,41190810,Marys Fortune,ACTIVE,14.0,12127.68
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,69041263,Wilmcote,ACTIVE,5.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,74631237,Lyle View,ACTIVE,5.4,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,63937601,Hey Mama Rock Me,ACTIVE,6.6,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,54748130,Gotthereintheend,ACTIVE,7.4,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,51060038,Oneforthefairgreen,ACTIVE,9.4,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,606700,Extra Cover,ACTIVE,17.5,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,51480975,Ici La Reine,ACTIVE,16.5,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,53892638,Lady Harriett,ACTIVE,34.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,50056,Loud And Proud,ACTIVE,38.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,52917923,Omaha Wish,ACTIVE,50.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,62959881,Misting,ACTIVE,65.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,75366229,Princess Keri,ACTIVE,90.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,66378871,Laddie Cooper Mia,ACTIVE,140.0,17148.82
1.239017726,2025-02-03 15:18:00+00:00,Southwell,WIN,17090783,Time For Tea,ACTIVE,170.0,17148.82
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,69213042,Kalium,ACTIVE,3.85,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,45676538,Golden Maverick,ACTIVE,4.5,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,37384807,Heritier,ACTIVE,5.9,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,40290233,Haarar,ACTIVE,7.4,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,46534760,Eire Street,ACTIVE,8.4,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,13429471,Thereisnodoubt,ACTIVE,15.5,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,28652776,Russian Virtue,ACTIVE,50.0,12608.04
1.239017455,2025-02-03 15:30:00+00:00,Carlisle,WIN,45921698,Mojo Ego,ACTIVE,70.0,12608.04
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,41990880,Bobby Socks,ACTIVE,6.0,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,52418231,Toonagh Warrior,ACTIVE,6.8,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,67832991,Shantwopointfive,ACTIVE,7.0,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,7210677,Shared,ACTIVE,7.4,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,66019227,Whatsyourproblem,ACTIVE,11.5,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,26924694,Bread And Butter,ACTIVE,13.5,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,54982362,The Winslow Boy,ACTIVE,14.0,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,43066141,Churchills Boy,ACTIVE,16.5,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,13507775,Stratton Oakmont,ACTIVE,16.5,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,26817713,Whatsupwithyou,ACTIVE,20.0,9907.71
1.239017733,2025-02-03 15:50:00+00:00,Southwell,WIN,55870880,Djo Dela Barriere,ACTIVE,80.0,9907.71
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,37128193,Travail Dorfevre,ACTIVE,5.3,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,51665648,Breeze Of Wind,ACTIVE,6.2,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,62072170,Dusautior,ACTIVE,7.8,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,51158614,Cream Of The West,ACTIVE,9.4,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,337312,Torosay,ACTIVE,13.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,53457964,Toombridge,ACTIVE,14.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,35400232,Gibberwell,ACTIVE,22.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,38941573,Don Brocco,ACTIVE,21.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,38572698,Croagh Patrick,ACTIVE,21.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,38951030,Nights In Venice,ACTIVE,23.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,22216113,Uptown Harry,ACTIVE,30.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,38340860,Camp Belan,ACTIVE,30.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,27306272,Stowaway John,ACTIVE,44.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,37243344,Pitempton Power,ACTIVE,110.0,10400.66
1.239017462,2025-02-03 16:00:00+00:00,Carlisle,WIN,38243135,One Fer Mamma,ACTIVE,130.0,10400.66
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,12126672,Small Town Hero,ACTIVE,5.7,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,41101484,Star Vantage,ACTIVE,5.6,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,55987422,Jongleur Detoiles,ACTIVE,4.8,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,51992286,Just Chasing May,ACTIVE,6.0,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,52159376,Edgewell,ACTIVE,16.5,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,43898378,Faded Fantasy,ACTIVE,18.0,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,50216504,Tellairsue,ACTIVE,18.5,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,40178922,De Vegas Warrior,ACTIVE,16.0,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,69878612,Pooroldmackley,ACTIVE,55.0,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,10386817,Good Bye,ACTIVE,70.0,7388.56
1.239017739,2025-02-03 16:20:00+00:00,Southwell,WIN,44979098,Just Four Fame,ACTIVE,80.0,7388.56
1.239017744,2025-02-03 16:27:00+00:00,Wolverhampton,WIN,79669746,Alpine Trail,ACTIVE,1.85,17597.52
1.239017744,2025-02-03 16:27:00+00:00,Wolverhampton,WIN,10980914,Paratrooper,ACTIVE,3.65,17597.52
1.239017744,2025-02-03 16:27:00+00:00,Wolverhampton,WIN,79211469,Staffordshire,ACTIVE,10.0,17597.52
1.239017744,2025-02-03 16:27:00+00:00,Wolverhampton,WIN,79669745,Motawaared,ACTIVE,15.0,17597.52
1.239017744,2025-02-03 16:27:00+00:00,Wolverhampton,WIN,408297,Baikal,ACTIVE,38.0,17597.52
1.239017468,2025-02-03 16:33:00+00:00,Carlisle,WIN,79669670,They Want Me,ACTIVE,2.58,3027.9
1.239017468,2025-02-03 16:33:00+00:00,Carlisle,WIN,76590492,Noble George,ACTIVE,4.4,3027.9
1.239017468,2025-02-03 16:33:00+00:00,Carlisle,WIN,77161476,Peckforton Hills,ACTIVE,5.7,3027.9
1.239017468,2025-02-03 16:33:00+00:00,Carlisle,WIN,77034518,Lyndon Red,ACTIVE,7.6,3027.9
1.239017468,2025-02-03 16:33:00+00:00,Carlisle,WIN,78957425,La Tarantaise,ACTIVE,25.0,3027.9
1.239017468,2025-02-03 16:33:00+00:00,Carlisle,WIN,78627601,Eagles Cairn,ACTIVE,48.0,3027.9
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,77319104,Invincible Melody,ACTIVE,3.65,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,72422012,Blue Anthem,ACTIVE,4.6,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,69684860,Arlecchinos Rex,ACTIVE,4.6,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,323743,Risk,ACTIVE,13.0,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,68330697,Inconspicuous,ACTIVE,12.5,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,38109077,Kaleidoscope Eyes,ACTIVE,12.0,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,72520007,Makes Me Wonder,ACTIVE,20.0,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,68330727,Memardee,ACTIVE,70.0,12245.25
1.239017750,2025-02-03 17:00:00+00:00,Wolverhampton,WIN,69803907,Rogue Endeavour,ACTIVE,120.0,12245.25
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,8542980,Khutulun,ACTIVE,3.05,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,52761679,Ornately,ACTIVE,5.2,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,11306270,Watkins,ACTIVE,5.3,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,72111099,Miakoda,ACTIVE,8.8,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,68504733,Piranha Rama,ACTIVE,11.5,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,76502648,Fortunas Dream,ACTIVE,16.0,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,67337007,Mystical Elegance,ACTIVE,32.0,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,73153315,Berning Hot,ACTIVE,100.0,5939.94
1.239017758,2025-02-03 17:30:00+00:00,Wolverhampton,WIN,69767893,Mrbluesky,REMOVED,,5939.94
1.239017764,2025-02-03 18:00:00+00:00,Wolverhampton,WIN,490144,Patrol,ACTIVE,1.7,6466.54
1.239017764,2025-02-03 18:00:00+00:00,Wolverhampton,WIN,72322340,No Release,ACTIVE,5.3,6466.54
1.239017764,2025-02-03 18:00:00+00:00,Wolverhampton,WIN,74432748,Sydney Whistler,ACTIVE,7.4,6466.54
1.239017764,2025-02-03 18:00:00+00:00,Wolverhampton,WIN,70832744,Unknown Journey,ACTIVE,11.0,6466.54
1.239017764,2025-02-03 18:00:00+00:00,Wolverhampton,WIN,71661982,Jonny Garlic,REMOVED,,6466.54
1.239017770,2025-02-03 18:30:00+00:00,Wolverhampton,WIN,24711302,Level Up,ACTIVE,3.65,15970.55
1.239017770,2025-02-03 18:30:00+00:00,Wolverhampton,WIN,49135556,Rosenpur,ACTIVE,4.5,15970.55
1.239017770,2025-02-03 18:30:00+00:00,Wolverhampton,WIN,390828,Gustav Graves,ACTIVE,4.6,15970.55
1.239017770,2025-02-03 18:30:00+00:00,Wolverhampton,WIN,28569300,Nelson Gay,ACTIVE,10.5,15970.55
1.239017770,2025-02-03 18:30:00+00:00,Wolverhampton,WIN,40378883,Buraback,ACTIVE,12.0,15970.55
1.239017770,2025-02-03 18:30:00+00:00,Wolverhampton,WIN,25092597,Pop Dancer,ACTIVE,24.0,15970.55
