market_id,market_start_time,venue,market_type,selection_id,horse_name,status,last_price_traded,total_matched,highest_back_price
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,59121485,Rinnovati,ACTIVE,4.0,0.0,4.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,28732343,Split Elevens,ACTIVE,4.5,0.0,4.3
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,16409422,Poles Apart,ACTIVE,7.6,0.0,7.4
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,35638629,Forgotten Treasure,ACTIVE,11.0,0.0,10.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,11450381,Electrified,ACTIVE,10.5,0.0,10.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,53985455,Capallcliste,ACTIVE,11.5,0.0,11.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,9163357,Outreach,ACTIVE,11.5,0.0,10.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,28575481,Doonbeg Farmer,ACTIVE,30.0,0.0,22.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,43535396,Brazen Diamond,ACTIVE,65.0,0.0,46.0
1.231693932,2024-08-13T13:15:00,Lingfield,WIN,61302355,Snow Eagle,ACTIVE,110.0,0.0,60.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,41377355,Showlan Spirit,ACTIVE,7.8,0.0,7.2
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,30333292,Addosh,ACTIVE,6.4,0.0,6.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,24292277,Star Of St James,ACTIVE,7.6,0.0,7.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,47196105,Star Start,ACTIVE,8.0,0.0,7.8
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,35676409,Sea Of Charm,ACTIVE,9.4,0.0,9.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,29740729,Sun Festival,ACTIVE,13.0,0.0,12.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,36110942,Bakersboy,ACTIVE,18.0,0.0,15.5
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,45326483,Twilight Guest,ACTIVE,20.0,0.0,20.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,7076485,Gilbert,ACTIVE,23.0,0.0,20.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,26942937,More Diamonds,ACTIVE,11.79,0.0,19.5
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,35913006,Pittsburg,ACTIVE,38.0,0.0,28.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,15537733,Takes Time,ACTIVE,50.0,0.0,30.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,64353749,Daffin,ACTIVE,60.0,0.0,40.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,20160733,Straitouttacompton,ACTIVE,75.0,0.0,44.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,36545292,Tio Mio,ACTIVE,65.0,0.0,36.0
1.23169401,2024-08-13T13:30:00,Nottingham,WIN,10724071,Kinetic,REMOVED,,,
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,56460442,Rockstar Icon,ACTIVE,4.7,0.0,4.7
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,58186645,Ahlain,ACTIVE,6.8,0.0,6.4
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,1497205,King Of Charm,ACTIVE,7.0,0.0,6.8
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,57238180,Pressures On,ACTIVE,7.0,0.0,6.8
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,56653665,Serene Seraph,ACTIVE,7.8,0.0,7.2
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,60237278,Purefoy,ACTIVE,8.0,0.0,7.6
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,642697,Sky Warrior,ACTIVE,17.5,0.0,16.5
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,54222,Shelbourne,ACTIVE,30.0,0.0,27.0
1.231693939,2024-08-13T13:45:00,Lingfield,WIN,57238183,This Time Maybe,ACTIVE,120.0,0.0,80.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,43230888,Kalahari Blue,ACTIVE,2.24,0.0,2.2
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,72557104,First Instinct,ACTIVE,6.6,0.0,6.4
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,68857527,Spiritualism,ACTIVE,9.4,0.0,9.2
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,69684781,Kokabah,ACTIVE,10.5,0.0,10.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,72557105,Bowerchalke,ACTIVE,11.5,0.0,10.5
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,7599360,Almasi,ACTIVE,13.5,0.0,12.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,69584708,Impatiently,ACTIVE,44.0,0.0,34.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,47905772,Kamand,ACTIVE,75.0,0.0,60.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,6365555,Smallbrook Lane,ACTIVE,110.0,0.0,65.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,48954101,Addendum,ACTIVE,,0.0,70.0
1.231694019,2024-08-13T14:00:00,Nottingham,WIN,71192486,Twilight Poppy,ACTIVE,140.0,0.0,110.0
1.231693946,2024-08-13T14:15:00,Lingfield,WIN,72033231,Miss Nightfall,ACTIVE,3.05,0.0,3.05
1.231693946,2024-08-13T14:15:00,Lingfield,WIN,963516,Golden Paradise,ACTIVE,3.85,0.0,3.85
1.231693946,2024-08-13T14:15:00,Lingfield,WIN,71770244,Star Of Mehmas,ACTIVE,7.4,0.0,7.2
1.231693946,2024-08-13T14:15:00,Lingfield,WIN,72557092,Empowered Queen,ACTIVE,8.8,0.0,8.6
1.231693946,2024-08-13T14:15:00,Lingfield,WIN,70085743,Facoulty,ACTIVE,13.0,0.0,11.5
