"Race Time","Course","Distance (y)","Race Type","Official Going","Classifications","Position","Horse","Jockey Claim","Weight (pounds)","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","PRC Average","PRC Last Run","PRC 2nd Last Run","PRC 3rd Last Run","Pace Rating","Pace Rating Rank","OR","OR Rank","Tissue Odds Decimal","PFR Rank","Main","Main Rank","Main Stats","Stats","Stats Rank","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","HA Career Speed Rating","HA Career Speed Rating Rank","HA Last 1 Year Speed Rating","HA Last 1 Year Speed Rating Rank","MR Career Speed Rating","MR Career Speed Rating Rank","MR Last 1 Year Speed Rating","MR Last 1 Year Speed Rating Rank","MR Last 3 Runs Speed Rating","MR Last 3 Runs Speed Rating Rank","LTO Speed Rating","LTO Speed Rating Rank","2nd LTO Speed Rating","2nd LTO Speed Rating Rank","3rd LTO Speed Rating","4th LTOt Speed Rating","Evening Price","Breakfast Price","Morning Price",dyHA,dyLTO,dyAVG,dyAVG(x),dyMR,dyMR(x),dy2HA,"Finished Races SR","WON SR Before","Won P/L Before","Plc SR Before",DSLR(F),DSLR(J),"FLAT TURF Runs Before","FLAT AW Runs Before","CHASE Runs Before","HURDLE Runs Before","NHF Runs Before","ALL FLAT Runs Before","FLAT TURF Wins Before","FLAT AW Wins Before","CHASE Wins Before","HURDLE Wins Before","NHF Wins Before","Distance In Yards LTO","Official Rating LTO","Distance To Winner LTO","Betfair SP Odds LTO (Decimcal)","Speed Rating LTO","PRC Average LTO","PRC Last Run LTO","PRC 2nd Last Run LTO","PRC 3rd Last Run LTO","JSH Mean Movement Rank","Cherry Picked Rating","Today's Going Wins","Today's Going Places","Today's Going Runs","Today's Distance Wins","Today's Distance Places","Today's Distance Runs","Today's Class Wins","Today's Class Places","Today's Class Runs","Today's Course Wins","Today's Course Places","Today's Course Runs","Heavy/Soft Ground Wins","Heavy/Soft Ground Places","Heavy/Soft Ground Runs","Good to Soft Ground Wins","Good to Soft Ground Runs","Good Ground Wins","Good Ground Runs","Good to Firm Ground Wins","Good to Firm Ground Runs","SpeedRating LTO"
"01/09/2024 2:00:00 PM","Tipperary","1980","Turf","Good","Mdn","1","Tennessee Stud","0","133","6","7.4","1","70","70","0","0","0","2","0","1","5.5","2","357","2","689","332","5","82","89","85","76","56","2","56","2","56","2","56","2","56","2","56","2","0","1","0","0","3.75","4","5","56","56","56","56","56","56","","","0","-1","0","29","","1","0","0","0","0","1","0","0","0","0","0","1833","0","4.19999980926514","11.42","56","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","56"
"01/09/2024 2:00:00 PM","Tipperary","1980","Turf","Good","Mdn","2","Shackleton","0","133","1.44","1.55","0","87","87","0","0","2","1","0","1","2.38","1","373","1","734","361","2","97","84","88","92","63","1","63","1","63","1","63","1","63","1","63","1","0","1","0","0","1.57","1.53","1.44","63","63","63","63","63","63","","","0","-1","100","24","","1","0","0","0","0","1","0","0","0","0","0","1760","0","5","5.2","63","0","0","0","0","","","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","63"
"01/09/2024 2:00:00 PM","Tipperary","1980","Turf","Good","Mdn","3","You Are Mine","0","128","81","170.19","0","50","50","0","0","0","2","0","1","7.5","5","331","4","640","309","6","74","83","76","76","46","3","46","3","46","3","46","3","46","3","46","3","0","1","0","0","34","34","51","46","46","46","46","46","46","","","0","-1","0","29","","1","0","0","0","0","1","0","0","0","0","0","1833","0","14.4499998092651","44","46","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","46"
"01/09/2024 2:00:00 PM","Tipperary","1980","Turf","Good","Mdn","4","County Mayo","7","126","11","12.57","0","0","0","0","0","0","2","0","1","","4","311","5","670","359","3","97","76","86","100","0","5","0","5","0","5","0","5","0","5","0","5","0","1","0","0","10","10","11","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:00:00 PM","Tipperary","1980","Turf","Good","Mdn","5","Wolf Rayet","0","133","7.5","8.4","0","43","43","0","0","0","2","0","1","7.5","3","336","3","688","352","4","89","81","90","92","44","4","44","4","44","4","44","4","44","4","44","4","0","1","0","0","12","12","13","44","44","44","44","44","44","","","0","-1","0","48","","1","0","0","0","0","1","0","0","0","0","0","1780","0","8.5","5.9","44","0","0","0","0","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","44"
"01/09/2024 2:00:00 PM","Tipperary","1980","Turf","Good","Mdn","6","Trubshaw","0","133","34","65","0","0","0","0","0","0","2","0","1","","6","303","6","679","376","1","83","100","93","100","0","5","0","5","0","5","0","5","0","5","0","5","0","1","0","0","29","29","26","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"01/09/2024 2:22:00 PM","Brighton","2618","Turf","Good To Firm","Hcap-Ama","1","Pride Of Nepal","0","152","3.75","4.74","1","73","90","57","73","0","6","61","1","5","2","333","1","675","342","1","88","83","92","79","70","2","57","3","56","2","55","3","54","3","54","2","11","5","57","56","4","3.75","2.63","70","54","53","40","57","54","68","100","11.43","-4.5","11.43","9","132","20","10","0","5","0","30","4","0","0","0","0","1991","57","0","5.7","54","60","57","73","51","","","1","1","9","1","1","10","0","2","8","0","0","1","0","0","3","0","4","3","9","1","9","54"
"01/09/2024 2:22:00 PM","Brighton","2618","Turf","Good To Firm","Hcap-Ama","2","French Martini","0","150","8.5","8.84","0","51","57","44","0","2","3","59","2","51","5","241","6","495","254","6","85","78","69","22","53","6","53","6","43","6","43","6","43","6","53","3","33","4","0","0","8.5","9","6.5","53","53","43","44","43","47","47","","0","-4","0","68","","2","2","0","0","0","4","0","0","0","0","0","2618","62","6.80000019073486","20.72","53","44","44","0","0","","","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","53"
"01/09/2024 2:22:00 PM","Brighton","2618","Turf","Good To Firm","Hcap-Ama","3","The Resdev Way","0","137","4","4.23","0","47","57","71","13","2","3","46","5","5.5","1","328","2","649","321","2","86","84","86","65","72","1","69","1","53","3","60","1","60","1","52","4","69","1","0","0","7.5","10","6","72","52","50","62","55","65","69","83.33","10.62","-34.57","15.93","4","776","50","48","0","12","3","98","4","8","0","0","0","3052","46","4.59999990463257","21.62","52","43","71","13","46","","","3","2","22","1","2","12","7","11","52","0","0","0","0","1","3","0","9","1","28","3","22","52"
"01/09/2024 2:22:00 PM","Brighton","2618","Turf","Good To Firm","Hcap-Ama","4","Fen Tiger","0","144","3.75","3.92","0","45","81","13","40","8","1","53","3","7","3","298","3","576","278","5","79","81","86","32","67","4","57","3","53","3","50","5","50","5","50","5","57","3","45","50","4.5","4.5","3.75","67","50","53","53","53","53","66","","9.38","-22.5","31.25","25","","21","11","0","0","0","32","3","0","0","0","0","3097","53","1.5","15","50","41","13","40","71","","","0","2","6","3","3","12","3","9","28","0","1","2","2","2","8","1","2","0","5","0","6","50"
