"Race Time","Course","Distance (y)","Race Type","Official Going","Classifications","Draw","Draw IV","Position","Horse","Jockey Claim","Weight (pounds)","DSLR","Dam","Sire","Form String","SP Odds Decimal","BF Decimal SP","Won (1=Won, 0=Lost)","PRC Average","PRC Last Run","PRC 2nd Last Run","PRC 3rd Last Run","Pace Rating","Pace Rating Rank","OR","OR Rank","Tissue Odds Decimal","PFR Rank","Main","Main Rank","Main Stats","Stats","Stats Rank","Trn Stats","Jky Stats","TrnJky Stats","Hrs Stats","HA Career Speed Rating","HA Career Speed Rating Rank","HA Last 1 Year Speed Rating","HA Last 1 Year Speed Rating Rank","MR Career Speed Rating","MR Career Speed Rating Rank","MR Last 1 Year Speed Rating","MR Last 1 Year Speed Rating Rank","MR Last 3 Runs Speed Rating","MR Last 3 Runs Speed Rating Rank","LTO Speed Rating","LTO Speed Rating Rank","2nd LTO Speed Rating","2nd LTO Speed Rating Rank","3rd LTO Speed Rating","4th LTOt Speed Rating","Evening Price","Breakfast Price","Morning Price",dyHA,dyLTO,dyAVG,dyAVG(x),dyMR,dyMR(x),dy2HA,"Finished Races SR","WON SR Before","Won P/L Before","Plc SR Before","Distance LTO (Same Code)","Distance In Yards LTO (Same Code)","Pounds LTO (Same Code)","Official Rating LTO (Same Code)","Distance To Winner LTO (Same Code)",DSLR(F),DSLR(J),"FLAT TURF Runs Before","FLAT AW Runs Before","CHASE Runs Before","HURDLE Runs Before","NHF Runs Before","ALL FLAT Runs Before","FLAT TURF Wins Before","FLAT AW Wins Before","CHASE Wins Before","HURDLE Wins Before","NHF Wins Before","Distance In Yards LTO","Official Rating LTO","Distance To Winner LTO","Betfair SP Odds LTO (Decimcal)","Speed Rating LTO","PRC Average LTO","PRC Last Run LTO","PRC 2nd Last Run LTO","PRC 3rd Last Run LTO","JSH Mean Movement Rank","Cherry Picked Rating","Today's Going Wins","Today's Going Places","Today's Going Runs","Today's Distance Wins","Today's Distance Places","Today's Distance Runs","Today's Class Wins","Today's Class Places","Today's Class Runs","Today's Course Wins","Today's Course Places","Today's Course Runs","Heavy/Soft Ground Wins","Heavy/Soft Ground Places","Heavy/Soft Ground Runs","Good to Soft Ground Wins","Good to Soft Ground Runs","Good Ground Wins","Good Ground Runs","Good to Firm Ground Wins","Good to Firm Ground Runs","SpeedRating LTO"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Abbeydale","0","165","208","Minirose","Martaline","02/45164-69","","1","0","0","0","0","0","2","12","127","2","41","16","141","15","333","192","11","73","61","54","4","0","13","0","11","0","13","0","11","0","11","0","11","0","8","0","0","26","34","0","64","64","50","54","57","57","61","100","11.11","-2.5","22.22","2m","3520","166","131","15","","208","0","0","0","8","1","0","0","0","0","1","0","3520","131","15","120","64","71","65","88","60","","","0","1","2","0","1","4","0","1","3","0","0","0","1","1","6","0","2","0","1","0","0","64"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Carrigeen Castle","0","156","203","Carrigeen Kariega","Doyen","07/83-1121P5","","1","0","72","61","67","88","4","7","118","11","17","8","146","13","318","172","14","39","75","44","14","73","3","73","2","56","10","56","6","62","4","62","5","45","7","73","51","23","29","0","73","62","38","60","41","45","65","92.86","21.43","-5.09","7.14","2m 4f 20y","4420","160","119","19.25","","203","0","0","7","7","0","0","0","0","3","0","0","4420","119","19.25","7.63","62","79","67","88","81","","","0","0","1","1","0","4","0","1","2","0","0","0","3","1","13","0","1","0","0","0","0","62"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Cerendipity","0","160","28","Check The Forecast","Sageburg","0313P-F3516","","1","0","73","65","93","61","4","7","122","8","13","5","200","6","391","191","12","33","44","54","60","72","5","72","3","65","5","65","3","50","8","50","7","65","1","48","72","0","0","0","72","50","52","54","60","50","72","84.62","20","7.75","20","2m 3f 85y","4265","156","123","12.75","","28","0","0","9","4","2","0","0","0","2","1","0","4265","123","12.75","8.97","50","75","93","61","72","","","0","2","4","1","0","2","0","1","6","1","0","1","3","1","9","0","4","0","2","0","0","50"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Champagnesuperover","5","156","14","Meldrum Hall","Jeremy","63/43114-4F4","","1","0","64","52","53","88","6","3","118","11","67","13","142","14","376","234","5","85","77","76","-4","72","5","37","10","58","8","37","10","37","10","37","10","0","8","0","0","21","17","0","81","37","50","47","55","37","72","87.5","22.22","-7.63","16.67","2m 75y","3595","162","120","15.75","","14","0","0","8","8","2","0","0","0","2","1","1","3595","120","15.75","9.42","37","73","53","88","77","","","2","1","10","1","1","4","2","1","7","0","0","0","2","1","7","2","10","0","1","0","0","37"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Garincha","0","159","568","Mandy Winger","Ask","24U31/4F141-","","1","0","78","88","60","85","0","16","121","10","","2","174","11","410","236","4","58","64","59","55","73","3","0","11","60","7","0","11","0","11","0","11","0","8","0","0","15","21","0","73","67","46","57","52","60","67","85.71","26.67","12.25","13.33","2m 4f 199y","4599","159","120","0","","568","0","0","6","8","1","0","0","0","3","1","0","4599","120","0","6","67","66","60","85","53","","","0","0","4","1","1","4","1","0","3","1","0","1","3","1","8","0","4","1","3","0","0","67"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Heroique De Maulde","0","149","627","Ondine De Brejoux","Jeu St Eloi","23/12-","","1","0","81","70","88","84","6","3","111","16","","7","189","7","404","215","7","57","65","67","26","69","8","0","11","66","3","0","11","0","11","0","11","0","8","0","0","17","13","0","69","67","64","62","66","65","67","100","25","-1.63","50","2m 75y","3595","160","114","11","","627","0","0","4","0","0","0","0","0","1","0","0","3595","114","11","2.55","67","85","88","84","83","","","0","0","1","1","2","3","0","0","0","0","0","0","0","1","1","0","1","1","2","0","0","67"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Jagwar","0","161","28","Quizas Jolie","Karaktar","25-1451","","1","0","94","94","0","0","2","12","123","6","9","4","278","3","532","254","3","57","88","84","25","55","12","55","9","55","11","55","7","55","7","55","6","0","8","0","0","3","3","0","77","55","64","63","63","58","72","100","33.33","-2.47","16.67","2m 3f 85y","4265","151","118","0","","28","0","0","1","5","0","0","0","0","1","1","0","4265","118","0","2.08","55","0","0","0","0","","","1","1","2","0","1","2","1","1","4","0","0","0","1","0","4","1","2","0","0","0","0","55"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Le Cameleon","0","154","147","Countess Camilla","Great Pretender","7/51334P-639","","1","0","62","58","55","74","2","12","116","13","34","12","159","12","246","87","16","72","49","69","-10","76","1","63","7","66","3","58","5","58","5","46","9","63","3","58","0","23","29","0","76","46","51","55","62","58","73","83.33","22.58","8.03","12.9","2m 4f","4400","168","118","44.5","","147","0","0","24","6","1","0","0","0","5","2","0","4400","118","44.5","11.76","46","61","55","74","53","","","2","0","10","1","0","7","5","1","21","0","0","1","3","4","12","2","10","2","9","0","0","46"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Lord Of Cheshire","0","164","40","Adelyta","Diamond Boy","6/2116/12-F71","","1","0","88","88","0","0","10","1","126","3","6.5","5","284","2","546","262","2","64","84","68","46","68","9","68","5","68","2","68","2","68","1","68","2","0","8","0","0","8","9","0","68","68","53","63","61","62","67","90","40","1.46","20","2m 3f 104y","4284","166","124","0","","40","0","0","1","9","0","0","0","0","1","3","0","4284","124","0","3.26","68","0","0","0","0","","","1","1","2","0","0","0","1","0","3","0","0","0","2","1","5","1","2","1","3","0","0","68"
"13/11/2024 12:25:00 PM","Bangor-On-Dee","4472","Chase","Good To Soft","Hcap-Cha","0","","","Lowry's Bar","0","168","32","Mac Idol","Malinas","111-124","","1","0","0","0","0","0","6","3","130","1","9","3","324","1","557","233","6","71","67","52","43","0","13","0","11","0","13","0","11","0","11","0","11","0","8","0","0","5.5","4.5","0","77","77","66","66","68","69","76","100","66.67","3.82","33.33","2m 3f 100y","4280","161","131","14.75","","32","0","0","0","6","0","0","0","0","0","4","0","4280","131","14.75","7.4","77","90","92","88","91","","","0","1","1","0","0","0","2","0","2","0","0","0","4","1","5","0","1","0","0","0","0","77"
